                                 REPORTE DE ATENCIONES
=====================================================================================
    Cod.Médico    Fact.Atención    Fact.Reserva    Num.Atenciones    Num.Reservas
-------------------------------------------------------------------------------------
      728983           7.02            9.61            14                20
      409939          11.70           14.57            21                22
      188770          13.79            9.45            22                18
      139491          13.50           11.26            22                21
      717574           5.92           10.41            13                14
      438575          10.46            8.46            17                15
      732265           7.07            9.00            14                16
      181543           7.43            8.59            15                14
      213914           6.44           13.10            11                24
      931580           7.58            7.30            14                13
      576585           9.72           14.37            17                28
      605124           5.41            8.79             9                16
      295593           8.94           10.05            14                18
      438561           6.04            8.14            13                17
      407737          11.31            7.29            18                17
      714431          11.08            7.41            19                17
      748326          10.49            5.94            20                 9
      994792           6.83            8.05            10                16
      373026          10.60           10.29            14                17
      759852           7.36            4.98            15                12
      658616           7.29            6.90            15                13
      595914          10.91            7.09            18                11
      503822           8.69            7.53            18                15
      189599           6.22           11.17            10                20
      366990           7.38           12.07            15                21
      374313           5.62           10.88            14                16
      634819           9.45            9.39            17                16
      693050           6.47            6.88            13                13
      863001          10.30            6.80            15                15
      666498           6.07           10.96            11                16
=====================================================================================
