                    EMPRESA DE TELECOMUNICACIONES S.A.
                     CONSULTA DEL PAGO DE UTILIDADES
========================================================================================================================
Empleados:
------------------------------------------------------------------------------------------------------------------------
No.   CODIGO       SUELDO
------------------------------------------------------------------------------------------------------------------------
  1   882897       4486.55
  2   457844       9018.82
  3   557549       7536.29
  4   274822       7613.34
  5   238596       2208.87
  6   892298       7221.31
  7   624402       3501.78
  8   636632       1020.09
  9   457183       3386.77
 10   275271       2823.51
 11   530853       4856.27
 12   141019       1114.21
 13   784880       6555.73
