====================================================================================================
PRODUCTOS DESCOMPUESTOS
----------------------------------------------------------------------------------------------------
Producto     Cantidad     Precio Unitario (S/.)    Sub-total (S/.)
  1) 25526   1071.22             18.57                19892.56
  2) 41116    792.82             19.44                15412.42
  3) 42128    898.20             16.29                14631.68
  4) 27395    633.73             21.05                13340.02
  5) 49183    845.17             15.61                13193.10
  6) 28688   1148.71             11.01                12647.30
  7) 22749    643.51             18.24                11737.62
  8) 52554    873.88             13.33                11648.82
  9) 53503    718.45             16.18                11624.52
 10) 20263    524.30             19.19                10061.32
 11) 33100    961.07             10.32                 9918.24
 12) 24864    728.16             13.25                 9648.12
 13) 27618    507.00             18.43                 9344.01
 14) 27767    787.55             11.22                 8836.31
 15) 31800    592.63             14.88                 8818.33
 16) 31427    413.09             20.91                 8637.71
 17) 41501    375.69             20.92                 7859.43
 18) 21225    383.83             20.47                 7857.00
 19) 29203    768.39             10.19                 7829.89
 20) 49950    645.51             11.64                 7513.74
 21) 25223    498.58             14.81                 7383.97
 22) 38717    558.83             12.76                 7130.67
 23) 26166    333.57             21.19                 7068.35
 24) 22583    559.79             12.20                 6829.44
 25) 40087    315.75             21.14                 6674.95
 26) 21137    681.18              9.76                 6648.32
 27) 30018    743.91              8.90                 6620.80
 28) 33055    979.40              6.66                 6522.80
 29) 19766    290.89             21.37                 6216.32
 30) 26769    486.27             12.51                 6083.24
 31) 38636    284.13             21.18                 6017.87
 32) 32137    347.33             16.85                 5852.51
 33) 25273    355.71             16.27                 5787.40
 34) 30774    708.90              8.02                 5685.38
 35) 34517    369.79             15.30                 5657.79
 36) 48402    338.94             16.55                 5609.46
 37) 47528    404.28             13.85                 5599.28
 38) 44081    423.16             13.09                 5539.16
 39) 35375    494.41             11.18                 5527.50
 40) 21125    665.89              8.21                 5466.96
 41) 32648    514.69             10.50                 5404.25
 42) 26528    477.69             11.24                 5369.24
 43) 37751    251.51             21.22                 5337.04
 44) 29274    424.66             12.02                 5104.41
 45) 37744    862.67              5.76                 4968.98
 46) 49572    319.26             15.25                 4868.72
 47) 35777    268.28             17.97                 4820.99
 48) 46740    504.98              9.52                 4807.41
 49) 35185    311.69             15.41                 4803.14
 50) 50538    362.84             12.65                 4589.93
 51) 18829    241.63             18.99                 4588.55
 52) 20936    358.81             12.33                 4424.13
 53) 51861    342.47             12.74                 4363.07
 54) 50006    291.94             14.83                 4329.47
 55) 43095   1064.18              4.06                 4320.57
 56) 41198    260.88             16.29                 4249.74
 57) 37497    270.39             15.59                 4215.38
 58) 19704    409.11             10.08                 4123.83
 59) 33088    199.67             20.40                 4073.27
 60) 29246    426.80              8.86                 3781.45
 61) 26381    485.28              7.77                 3770.63
 62) 37270    284.53             12.97                 3690.35
 63) 35285    275.29             12.75                 3509.95
 64) 22865    327.19             10.45                 3419.14
 65) 37258    187.43             17.58                 3295.02
 66) 29041    173.24             18.50                 3204.94
 67) 32402    188.56             16.79                 3165.92
 68) 21134    417.96              7.46                 3117.98
 69) 20471    243.44             12.44                 3028.39
 70) 52609    203.49             14.85                 3021.83
 71) 20729    449.25              6.38                 2866.21
 72) 21521    147.32             19.06                 2807.92
 73) 31730    300.00              9.27                 2781.00
 74) 40062    543.57              5.02                 2728.72
 75) 39968    509.45              5.09                 2593.10
 76) 22913    232.57             11.06                 2572.22
 77) 28733    267.79              9.56                 2560.07
 78) 38468    169.11             15.07                 2548.49
 79) 32261   1062.61              2.38                 2529.01
 80) 47146    115.99             21.62                 2507.70
 81) 29347    125.21             19.20                 2404.03
 82) 26358    249.23              9.34                 2327.81
 83) 19016    265.88              8.67                 2305.18
 84) 46683    106.87             21.23                 2268.85
 85) 26257    365.92              6.12                 2239.43
 86) 46486    121.30             18.39                 2230.71
 87) 46851    153.70             14.48                 2225.58
 88) 34510    200.85             11.05                 2219.39
 89) 39000    662.11              3.29                 2178.34
 90) 39820    139.88             14.68                 2053.44
 91) 37838    131.51             15.59                 2050.24
 92) 48125    174.87             11.08                 1937.56
 93) 34685    369.03              5.06                 1867.29
 94) 47404    313.22              5.95                 1863.66
 95) 44410    147.07             12.57                 1848.67
 96) 52540    634.39              2.87                 1820.70
 97) 40854    402.07              4.44                 1785.19
 98) 28943    236.94              7.17                 1698.86
 99) 20749    254.63              6.22                 1583.80
100) 22861     90.06             17.02                 1532.82
101) 23419    512.35              2.98                 1526.80
102) 23958    337.22              4.40                 1483.77
103) 45012    246.99              5.93                 1464.65
104) 36347    274.23              3.52                  965.29
105) 20773     66.41             14.06                  933.72
106) 18523    327.09              2.72                  889.68
107) 25519    331.33              2.67                  884.65
108) 33264    103.10              8.26                  851.61
109) 45909    271.35              3.02                  819.48
